Date,State,Cases,Deaths
2020,Alabama,361226,4827
2020,Alaska,46740,198
2020,Arizona,523829,8879
2020,Arkansas,225138,3676
2020,California,2307860,25965
2020,Colorado,335579,4879
2020,Connecticut,185708,5995
2020,Delaware,57456,926
2020,District of Columbia,28983,786
2020,Florida,1323307,21672
2020,Georgia,644065,10588
2020,Hawaii,21459,286
2020,Idaho,141388,1438
2020,Illinois,965840,17979
2020,Indiana,514455,8263
2020,Iowa,281712,3891
2020,Kansas,225455,2741
2020,Kentucky,268828,2956
2020,Louisiana,315275,7488
2020,Maine,24201,347
2020,Maryland,276834,5895
2020,Massachusetts,375178,12423
2020,Michigan,526668,13010
2020,Minnesota,415361,5382
2020,Mississippi,215811,4787
2020,Missouri,418637,5887
2020,Montana,81701,962
2020,Nebraska,167795,1690
2020,Nevada,225165,3136
2020,New Hampshire,44028,759
2020,New Jersey,479381,19042
2020,New Mexico,142897,2479
2020,New York,979040,37557
2020,North Carolina,541070,6811
2020,North Dakota,92502,1299
2020,Ohio,700380,8962
2020,Oklahoma,290936,2489
2020,Oregon,113929,1485
2020,Pennsylvania,646060,16020
2020,Rhode Island,87949,1777
2020,South Carolina,307507,5296
2020,South Dakota,99164,1488
2020,Tennessee,572579,6846
2020,Texas,1770527,28155
2020,Utah,276612,1270
2020,Vermont,7412,136
2020,Virginia,349584,5032
2020,Washington,251064,3523
2020,West Virginia,85334,1338
2020,Wisconsin,520438,5245
2020,Wyoming,44409,438
